idid;nev;megye;jaras;kisterseg;nepesseg;terulet;iranyitoszam;miota_varos;tipus
242;Polgárdi;Fejér;Székesfehérvári;Székesfehérvári;6 955;72,16;8154;1997;város
243;Pomáz;Pest;Szentendrei;Szentendrei;17 284;49,03;2013;2000;város
244;Pusztaszabolcs;Fejér;Dunaújvárosi;Adonyi;5 845;51,67;2490;2008;város
245;Putnok;Borsod-Abaúj-Zemplén;Putnoki;Ózdi;6 478;34,72;3630;1989;járásszékhely város
246;Püspökladány;Hajdú-Bihar;Püspökladányi;Püspökladányi;13 987;186,94;4150;1986;járásszékhely város
247;Rácalmás;Fejér;Dunaújvárosi;Dunaújvárosi;4 653;40,64;2459;2009;város
248;Ráckeve;Pest;Ráckevei;Ráckevei;10 605;64,09;2300;1989;járásszékhely város
249;Rakamaz;Szabolcs-Szatmár-Bereg;Nyíregyházi;Tiszavasvári;4 294;42,63;4465;2000;város
250;Rákóczifalva;Jász-Nagykun-Szolnok;Szolnoki;Szolnoki;5 309;35,94;5085;2009;város
251;Répcelak;Vas;Sárvári;Sárvári;2 630;13,82;9653;2001;város
252;Rétság;Nógrád;Rétsági;Rétsági;2 702;19,81;2651;1989;járásszékhely város
253;Rudabánya;Borsod-Abaúj-Zemplén;Kazincbarcikai;Kazincbarcikai;2 309;16,46;3733;2008;város
254;Sajóbábony;Borsod-Abaúj-Zemplén;Miskolci;Miskolci;2 577;13,43;3792;2009;város
255;Sajószentpéter;Borsod-Abaúj-Zemplén;Kazincbarcikai;Miskolci;11 185;34,85;3770;1989;város
256;Salgótarján;Nógrád;Salgótarjáni;Salgótarjáni;33 579;97,97;3100;1922;megyeszékhely megyei jogú város
257;Sándorfalva;Csongrád-Csanád;Szegedi;Szegedi;8 010;55,77;6762;2005;város
258;Sárbogárd;Fejér;Sárbogárdi;Sárbogárdi;11 821;189,33;7000;1986;járásszékhely város
259;Sarkad;Békés;Sarkadi;Sarkadi;9 540;125,57;5720;1989;járásszékhely város
260;Sárospatak;Borsod-Abaúj-Zemplén;Sárospataki;Sárospataki;11 599;139,09;3950;1968;járásszékhely város
261;Sárvár;Vas;Sárvári;Sárvári;15 226;64,65;9600;1968;járásszékhely város
